KNBSB_Name,FullName,Team_Year
GEESTMAN Kevin,Kevin Geestman,L&D Amsterdam Pirates_2013
GEESTMAN R,Rik Geestman,DSS_2014
GEESTMAN Rik,Rik Geestman,DSS_2014
GEI,Thomas Gei,AdoLakers_2013
GIL,Gino Gil,Silicon Storks_2017
GIRIGORI,Mayron Girigori,AdoLakers_2013
GNADEhane,Shane Gnade,Hoofddorp Pioniers_2010
GORISSE,Remco Gorisse,Twins_2013
GORISSE,Remco Gorisse,Twins_2015
GORISSE Remco,Remco Gorisse,Twins_2013
GORISSE Remco,Remco Gorisse,Twins_2015
GROENENDIJK,Ben Groenendijk,Euro Stars_2011
GROOT de,Aaron de Groot,Silicon Storks_2017
GROOT de Aaron,Aaron de Groot,Silicon Storks_2017
GROOTVELD,Maarten Grootveld,HCAW_2011
GUZMAN,Aldy Guzman,Euro Stars_2011
HALDERMAN,Tim Halderman,DSS_2014
HALDERMAN Tim,Tim Halderman,DSS_2014
HANEGRAAF,Bart Hanegraaf,Twins_2013
HANEGRAAFF,Bart Hanegraaf,Twins_2015
HARCKSEN,Misja Harcksen,Curacao Neptunus_2016
HARCKSEN Misja,Misja Harcksen,Curacao Neptunus_2016
HATO,Bjorn Hato,Kinheim_2010
HAZEL,Allan Hazel,DSS_2014
HELMENDACHander,Sander Helmendach,DSS_2019
HELMENDACHander,Sander Helmendach,HCAW_2012
HEMERT v,Wesley van Hemert,Kinheim_2018
HEMERT v,Wesley van Hemert,Kinheim_2019
HENDRIKS,Daan Hendrix,L&D Amsterdam Pirates_2012
HENDRIKS Daan,Daan Hendrix,L&D Amsterdam Pirates_2012
HENSON,Eugene Henson,AdoLakers_2013
HERKEMIJ,Peter Herkemij,Kinheim_2018
HERMANS,Jeroen Hermans,UVV_2010
HERNANDEZJulio,Julio Hernandez,Kinheim_2016
HETEM,Mitchell Hetem,Onze Gezellen_2017
HEUS,Joffrey Heus,DSS_2014
HEUS,Joffrey Heus,Onze Gezellen_2017
HEUS Joffrey,Joffrey Heus,Onze Gezellen_2017
HEYDE vd,Dakota van de Heyde,HCAW_2018
HOEK v,Randy van Hoek,Silicon Storks_2017
HOFER,Nick Hofer,Kinheim_2018
HOFER,Nick Hofer,Kinheim_2019
HOLMBERG,Linus Holmberg,Kinheim_2019
HONDIUS,Joeri Hondius,Onze Gezellen_2017
HUBERT,Jeroen Hubert,HCAW_2013
HUBERT Jeroen,Jeroen Hubert,HCAW_2013
HUIJERars,Lars Huijer,Hoofddorp Pioniers_2011
HUIJERars,Lars Huijer,Hoofddorp Pioniers_2013
HUIJERars,Lars Huijer,Hoofddorp Pioniers_2015
HUIJERars,Lars Huijer,Hoofddorp Pioniers_2016
HUIJERars,Lars Huijer,Hoofddorp Pioniers_2017
HUIJERars,Lars Huijer,Hoofddorp Pioniers_2018
HUIJERars,Lars Huijer,Hoofddorp Pioniers_2019
HUIJGENS,Koen Huijgens,Silicon Storks_2017
IANNELLItefan,Stefan Iannelli,Twins_2019
IN DEN KLEEF,Bart In Den Kleef,Twins_2013
INGEN v,Jorn van Ingen,DSS_2014
INGEN v Jorn,Jorn van Ingen,DSS_2014
ISENIA,Aaron Isenia,Quick Amersfoort_2017
ISENIA Aaron,Aaron Isenia,Quick Amersfoort_2017
ISHAK,Jeremy Ishak,Euro Stars_2011
ISHAK,Jeremy Ishak,Twins_2013
ISHAK Jeremy,Jeremy Ishak,Euro Stars_2011
ISHAK Jeremy,Jeremy Ishak,Twins_2013
JAMES,T'Shawn James,Quick Amersfoort_2017
JAMES T'shawn,T'Shawn James,Quick Amersfoort_2017
JANSEN,Bart Janssen,Twins_2017
JANSSEN,Bart Janssen,Twins_2015
JANSSENS,Stijn Janssens,Twins_2013
JANSSENS,Stijn Janssens,Twins_2015
JONG de B,Bas de Jong,Quick Amersfoort_2017
JONG de J,Jos de Jong,Quick Amersfoort_2017
JONG de Jos,Jos de Jong,Quick Amersfoort_2017
JONGEJANS,Sven Jongejans,DSS_2014
JONGERIUS N,Norbert Jongerius,UVV_2010
KAREL,Sedley Karel,UVV_2010
KAREL Sedley,Sedley Karel,UVV_2010
KARELedley,Sedley Karel,HCAW_2013
KARELedley,Sedley Karel,HCAW_2017
KARELedley,Sedley Karel,Hoofddorp Pioniers_2014
KARELedley,Sedley Karel,Hoofddorp Pioniers_2016
KARELedley,Sedley Karel,UVV_2011
KARPER,Kevin Karper,Onze Gezellen_2017
KARPER,Kevin Karper,Twins_2015
KARPER,Kevin Karper,Twins_2016
KELLY,Kevin Kelly,Curacao Neptunus_2018
KELLY Kevin,Kevin Kelly,Curacao Neptunus_2018
KEMPEN,Rikkert Kempen,Twins_2013
KEMPEN,Rikkert Kempen,Twins_2016
KESSELER,Joeri Kesseler,Kinheim_2018
KESSELER,Joeri Kesseler,Kinheim_2019
KESSELER Joeri,Joeri Kesseler,Kinheim_2018
KESSELER Joeri,Joeri Kesseler,Kinheim_2019
KLAARENBEEK,Bob Klaarenbeek,Quick Amersfoort_2017
KLAARENBEEK Bob,Bob Klaarenbeek,Quick Amersfoort_2017
KLAVERDIJK,Juergen Klaverdijk,Mampaey Hawks_2012
KLAVERDIJK Juergen,Juergen Klaverdijk,Mampaey Hawks_2012
KLOPander,Sander Klop,Sparta-Feyenoord_2010
KNAPE,Kelvin Knape,AdoLakers_2013
KNOLLENBURG,Kevin Knollenberg,UVV_2014
KOEDIJK,Jochem Koedijk,Kinheim_2013
KOEHORST H,Hugo Koehorst,Onze Gezellen_2017
KOEHORST Hugo,Hugo Koehorst,Onze Gezellen_2017
KOEHORST T,Ted Koehorst,Onze Gezellen_2017
KOENEN,Jurjan Koenen,HCAW_2013
KOKS,Jurrian Koks,Silicon Storks_2017
KOKS Jurrian,Jurrian Koks,Silicon Storks_2017
KONINCK de,Stijn de Koninck,Twins_2013
KONINCK de Stijn,Stijn de Koninck,Twins_2013
KOOIJ van der Hugo,Hugo van der Kooij,Mampaey Hawks_2012
