Name,Tournament,Year,id,ab,r,h,2B,3B,hr,rbi,tb,avg,slg,obp,ops,bb,hbp,so,gdp,sf,sh,sb,cs
APOSTEL Sherten,U-23-WorldCup,2018,23903,32,6,12,2,2,2,9,24,.375,.750,.444,1.194,4,0,11,2,0,0,0,1
BRANDS Paul,U-23-WorldCup,2018,23882,6,2,1,1,0,0,0,2,.167,.333,.286,.619,0,1,1,0,0,1,0,0
DE JONGH Aldrich Salvador,U-23-WorldCup,2018,23906,30,7,8,3,1,0,2,13,.267,.433,.353,.786,3,1,7,0,0,0,0,0
ENGELHARDT Rachid German,U-23-WorldCup,2018,23905,23,3,5,0,0,0,2,5,.217,.217,.308,.525,2,1,8,1,0,0,0,0
LINT Swindly Emmanuel Cathalino,U-23-WorldCup,2018,23904,24,1,3,2,0,0,3,5,.125,.208,.250,.458,3,1,3,2,0,0,0,0
MARTINA Francinel Francisco,U-23-WorldCup,2018,23900,30,7,11,0,0,1,7,14,.367,.467,.417,.884,3,1,6,0,2,1,0,0
SELASSA Delano Quentin,U-23-WorldCup,2018,23908,22,3,4,0,0,0,1,4,.182,.182,.308,.490,4,0,6,0,0,0,0,0
TAKKE Tijmen,U-23-WorldCup,2018,23899,28,1,9,3,0,0,4,12,.321,.429,.345,.774,0,1,5,0,0,0,0,0
VAN DE SANDEN Tommy Ferdinando,U-23-WorldCup,2018,23907,18,2,5,0,0,0,1,5,.278,.278,.350,.628,2,0,6,0,0,1,0,2
VAN DER WIJST SEVERINO Marco Josue,U-23-WorldCup,2018,23901,2,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,1,0,0,0,0,0
VAN HOEK Rowan,U-23-WorldCup,2018,23884,12,2,1,0,0,0,0,1,.083,.083,.214,.297,1,1,3,1,0,0,0,0
VERKERK Ruar Geer Johanness,U-23-WorldCup,2018,23902,30,3,7,1,1,1,6,13,.233,.433,.324,.757,4,0,6,1,0,0,0,0
VIDAL Stephan Emmanuel,U-23-WorldCup,2018,23885,12,1,4,0,0,0,2,4,.333,.333,.429,.762,2,0,3,0,0,0,0,0
