Name,Tournament,Year,id,ab,r,h,2B,3B,hr,rbi,tb,avg,slg,obp,ops,bb,hbp,so,gdp,sf,sh,sb,cs
ANASAGASTI Leandro,U-18-WorldCup,2019,25961,20,2,4,0,0,0,1,4,.200,.200,.273,.473,2,0,8,0,0,0,0,0
BENTURA Nathaniel,U-18-WorldCup,2019,25967,26,3,6,0,0,1,7,9,.231,.346,.290,.636,3,0,5,0,2,0,0,0
COLLINS Darryl James,U-18-WorldCup,2019,25963,29,8,10,4,1,2,12,22,.345,.759,.412,1.171,3,1,3,1,1,0,0,1
HOFER Nick,U-18-WorldCup,2019,26151,7,1,3,0,0,0,2,3,.429,.429,.556,.985,2,0,2,0,0,0,0,0
KEMP Tyriq,U-18-WorldCup,2019,26146,30,4,9,1,0,0,2,10,.300,.333,.417,.750,6,0,5,0,0,0,2,1
KOPS Max,U-18-WorldCup,2019,25964,28,4,6,0,1,0,3,8,.214,.286,.267,.553,2,0,7,0,0,0,1,0
PITERNELLA Ruendrick,U-18-WorldCup,2019,25965,30,5,8,5,0,0,5,13,.267,.433,.313,.746,2,0,13,0,0,0,0,1
POLONIUS Ryson,U-18-WorldCup,2019,26150,20,7,8,2,1,1,1,15,.400,.750,.556,1.306,7,0,6,0,0,1,3,1
POLONIUS Rainer,U-18-WorldCup,2019,25968,20,2,2,2,0,0,0,4,.100,.200,.280,.480,4,1,4,0,0,1,1,0
QUANT Shane,U-18-WorldCup,2019,26149,24,1,5,0,0,0,2,5,.208,.208,.269,.477,2,0,8,0,0,0,0,0
VOS Mick,U-18-WorldCup,2019,25962,11,0,1,0,0,0,1,1,.091,.091,.214,.305,2,0,6,0,1,0,0,0
