PlayerName,Year,League,gs,g,ip_value,ip_label,h,r,er,bb,so,hbp,ibb,ab,bf,fo,go,np,Win,Loss,Save,era_value,era_label,wlp_value,wlp_label,whip_value,whip_label,h9_value,h9_label,bb9_value,bb9_label,so9_value,so9_label,sobb_value,sobb_label
Roger Luque,2010,Hoofdklasse Honkbal (NLD),6,11,62.0,62.0,52,30,20,21,70,5,0,231,266,27,84,0,4,3,0,2.903225806451613,2.9,0.5714285714285714,.571,1.1774193548387097,1.177,7.548387096774194,7.5,3.0483870967741935,3.0,10.161290322580646,10.2,3.3333333333333335,3.3
Roland Laurens,2014,Hoofdklasse Honkbal (NLD),0,1,0.3333333333333333,0.1,0,0,0,2,0,0,0,1,3,1,0,13,0,0,0,0.0,0.0,0.0,.000,6.0,6.0,0.0,0.0,54.0,54.0,0.0,0.0,0.0,0.0
Roland Laurens,2017,Hoofdklasse Honkbal (NLD),0,9,7.333333333333333,7.1,10,5,4,6,5,0,1,31,38,8,8,144,0,1,0,4.909090909090909,4.91,0.0,.000,2.181818181818182,2.182,12.272727272727273,12.3,7.363636363636364,7.4,6.136363636363637,6.1,0.8333333333333334,0.8
Roland Laurens,2018,Hoofdklasse Honkbal (NLD),0,1,1.0,1.0,0,1,0,1,2,0,0,4,5,1,0,25,0,0,0,0.0,0.0,0.0,.000,1.0,1.0,0.0,0.0,9.0,9.0,18.0,18.0,2.0,2.0
Ronald Oosterwijk,2017,Hoofdklasse Honkbal (NLD),3,4,21.333333333333336,21.1,32,12,10,7,12,2,0,94,104,31,17,346,1,0,0,4.218749999999999,4.22,1.0,1.000,1.8281249999999998,1.828,13.499999999999998,13.5,2.9531249999999996,3.0,5.062499999999999,5.1,1.7142857142857142,1.7
Ronald de Bont,2010,Hoofdklasse Honkbal (NLD),0,1,1.0,1.0,3,2,2,1,1,0,0,6,7,2,0,0,0,0,0,18.0,18.0,0.0,.000,4.0,4.0,27.0,27.0,9.0,9.0,9.0,9.0,1.0,1.0
Ronald de Bont,2012,Hoofdklasse Honkbal (NLD),1,1,1.6666666666666665,1.2,6,6,6,2,1,0,0,10,13,2,2,45,0,1,0,32.400000000000006,32.4,0.0,.000,4.800000000000001,4.8,32.400000000000006,32.4,10.8,10.8,5.4,5.4,0.5,0.5
Ronald de Bont,2013,Hoofdklasse Honkbal (NLD),6,15,35.0,35.0,52,29,27,23,15,2,1,147,174,47,32,651,2,2,0,6.942857142857143,6.94,0.5,.500,2.142857142857143,2.143,13.371428571428572,13.4,5.914285714285715,5.9,3.857142857142857,3.9,0.6521739130434783,0.7
Ronald de Bont,2014,Hoofdklasse Honkbal (NLD),7,14,45.666666666666664,45.2,70,54,50,31,12,6,0,201,242,68,50,855,1,6,0,9.854014598540147,9.85,0.14285714285714285,.142,2.2116788321167884,2.212,13.795620437956206,13.8,6.109489051094891,6.1,2.3649635036496353,2.4,0.3870967741935484,0.4
Rowald Reemst,2017,Hoofdklasse Honkbal (NLD),0,2,0.6666666666666666,0.2,2,3,1,1,0,0,0,4,5,1,1,24,0,0,0,13.5,13.5,0.0,.000,4.5,4.5,27.0,27.0,13.5,13.5,0.0,0.0,0.0,0.0
Roy Beems,2010,Hoofdklasse Honkbal (NLD),4,13,27.666666666666668,27.2,43,28,25,15,9,2,0,117,139,23,43,0,1,2,0,8.132530120481928,8.13,0.3333333333333333,.333,2.0963855421686746,2.096,13.987951807228916,14.0,4.879518072289156,4.9,2.927710843373494,2.9,0.6,0.6
Rubi Koko,2010,Hoofdklasse Honkbal (NLD),0,1,3.0,3.0,5,3,3,1,3,0,0,13,15,1,5,0,0,0,0,9.0,9.0,0.0,.000,2.0,2.0,15.0,15.0,3.0,3.0,9.0,9.0,3.0,3.0
Rubi Koko,2011,Hoofdklasse Honkbal (NLD),0,1,0.6666666666666666,0.2,0,0,0,1,0,0,0,2,4,1,1,0,0,0,0,0.0,0.0,0.0,.000,1.5,1.5,0.0,0.0,13.5,13.5,0.0,0.0,0.0,0.0
Ruderly Manuel,2011,Hoofdklasse Honkbal (NLD),9,11,65.66666666666667,65.2,63,32,27,28,47,3,1,251,288,63,73,0,4,5,0,3.7005076142131976,3.7,0.4444444444444444,.444,1.3857868020304567,1.386,8.634517766497462,8.6,3.8375634517766493,3.8,6.441624365482233,6.4,1.6785714285714286,1.7
