PlayerName,FirstAppearance,LatestAppearance,g,pa,ab,r,h,rbi,2b,3b,hr,bb,sb,cs,hbp,sh,sf,so,ibb,gdp,MainPos,Pos_1b,Pos_2b,Pos_3b,Pos_c,Pos_cf,Pos_dh,Pos_lf,Pos_p,Pos_ph,Pos_pr,Pos_rf,Pos_ss,avg_value,avg_label,obp_value,obp_label,slg_value,slg_label,ops_value,ops_label,iso_value,iso_label
Mathijs Vuister,"September 16, 2010 (Almere Magpies - <b>UVV</b>)","September 19, 2010 (Almere Magpies - <b>UVV</b>)",3,12,11,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,Right Fielder,0,0,0,0,0,0,0,0,0,0,3,0,0.09090909090909091,.090,0.3410099144573878,.341,0.09090909090909091,.090,0.25757575757575757,.257,0.0,.000
Matt Erickson,"June 12, 2016 (<b>UVV</b> - DSS)","August 28, 2016 (DSS - <b>UVV</b>)",15,9,8,3,2,0,0,1,0,1,0,0,0,0,0,1,0,0,Pitcher,0,0,1,1,0,2,0,13,0,0,0,0,0.25,.250,0.3410094834040429,.341,0.5,.500,0.8333333333333333,.833,0.25,.250
Matt Ryan,"April 10, 2010 (L&D Amsterdam Pirates - <b>AdoLakers</b>)","June 20, 2010 (<b>AdoLakers</b> - Sparta-Feyenoord)",28,105,90,14,22,12,3,0,3,13,2,0,0,1,0,21,1,3,First Baseman,19,0,0,0,0,8,0,3,1,0,0,0,0.24444444444444444,.244,0.3410106930199208,.341,0.37777777777777777,.377,0.7206349206349206,.720,0.13333333333333333,.133
Matthew Latta,"September 22, 2013 (<b>Twins</b> - AdoLakers)","September 17, 2017 (<b>Twins</b> - Quick Amersfoort)",42,6,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,Pitcher,0,0,0,0,0,0,1,38,1,3,1,0,0.0,.000,0.34101040582077546,.341,0.0,.000,0.3333333333333333,.333,0.0,.000
Matthew Suijker,"June 11, 2019 (Quick Amersfoort - <b>Silicon Storks</b>)","June 11, 2019 (Quick Amersfoort - <b>Silicon Storks</b>)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Catcher,0,0,0,1,0,0,0,0,0,0,0,0,0.0,.000,0.34101040582077546,.341,0.0,.000,,.000,0.0,.000
Matz Schutte,"August 24, 2014 (Mampaey Hawks - <b>HCAW</b>)","October 4, 2020 (<b>L&D Amsterdam Pirates</b> - HCAW)",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pitcher,0,0,0,0,0,0,0,19,0,0,0,0,0.0,.000,0.34101040582077546,.341,0.0,.000,,.000,0.0,.000
Max Bijster,"April 14, 2011 (<b>Sparta-Feyenoord</b> - Curacao Neptunus)","June 4, 2011 (<b>Sparta-Feyenoord</b> - AdoLakers)",15,24,20,2,1,0,0,0,0,1,0,0,1,2,0,4,0,0,Second Baseman,0,11,0,0,0,3,0,0,1,1,0,0,0.05,.050,0.340978088084032,.340,0.05,.050,0.175,.175,0.0,.000
Max Clarijs,"April 12, 2013 (<b>HCAW</b> - UVV)","September 1, 2019 (Curacao Neptunus - <b>L&D Amsterdam Pirates</b>)",302,1091,898,122,174,101,40,6,1,131,23,5,14,39,7,213,2,24,Catcher,1,13,3,273,0,12,0,0,5,2,0,2,0.19376391982182628,.193,0.3406622664173467,.340,0.25501113585746105,.255,0.5492366170673602,.549,0.061247216035634745,.061
Max Draijer,"April 17, 2014 (HCAW - <b>Hoofddorp Pioniers</b>)","July 7, 2019 (<b>Hoofddorp Pioniers</b> - Curacao Neptunus)",158,596,508,89,121,60,23,1,3,68,14,7,4,10,6,92,0,11,Shortstop,1,14,22,0,1,0,1,3,3,1,0,123,0.23818897637795275,.238,0.3406003627345745,.340,0.3051181102362205,.305,0.6289436135919252,.628,0.06692913385826772,.066
Max Kops,"April 26, 2018 (<b>Twins</b> - Silicon Storks)","August 4, 2019 (<b>Twins</b> - DSS)",56,153,140,17,30,13,11,0,0,10,5,3,1,1,1,52,0,2,Right Fielder,0,0,0,0,6,4,10,0,8,4,33,0,0.21428571428571427,.214,0.3405318788327016,.340,0.29285714285714287,.292,0.5608309990662932,.560,0.07857142857142857,.078
