PlayerName,Year,League,g,pa,ab,r,h,rbi,2b,3b,hr,bb,sb,cs,hbp,sh,sf,so,ibb,gdp,MainPos,Pos_1b,Pos_2b,Pos_3b,Pos_c,Pos_cf,Pos_dh,Pos_lf,Pos_p,Pos_ph,Pos_pr,Pos_rf,Pos_ss,avg_value,avg_label,obp_value,obp_label,slg_value,slg_label,ops_value,ops_label,iso_value,iso_label
"
Didi Gregorius
",2019,MLB (USA),91,380,357,51,86,67,15,2,17,19,2,1,1,0,2,59,1,5,Shortstop,0,0,0,0,0,1,0,0,0,1,0,89,0.24089635854341737,.240,0.32443131132917036,.324,0.4369747899159664,.436,0.7185537372843874,.718,0.19607843137254902,.196
"
Didi Gregorius
",2020,MLB (USA),60,240,215,34,61,40,10,2,10,15,3,2,4,1,2,28,3,4,Shortstop,0,0,0,0,0,0,0,0,3,0,0,59,0.2837209302325581,.283,0.32471390845070425,.324,0.4883720930232558,.488,0.8342054263565891,.834,0.20465116279069767,.204
"
Edmond Americaan
",2018,Rk-ARIZ,30,126,112,22,33,9,5,2,0,13,11,5,1,0,0,30,0,0,Center Fielder,0,0,0,0,23,0,1,0,0,0,3,0,0.29464285714285715,.294,0.3250464430116927,.325,0.375,.375,0.748015873015873,.748,0.08035714285714286,.080
"
Edmond Americaan
",2019,A--NORW,66,284,255,38,72,32,17,5,4,19,16,7,8,1,1,65,0,3,Right Fielder,0,0,0,0,18,0,14,0,0,0,32,0,0.2823529411764706,.282,0.3254062197352846,.325,0.43529411764705883,.435,0.7838856669428335,.783,0.15294117647058825,.152
"
Edmond Americaan
",2019,A-MIDW,8,30,25,0,4,0,1,0,0,3,0,0,1,1,0,9,0,0,Center Fielder,0,0,0,0,4,0,2,0,0,0,1,0,0.16,.160,0.3253115599484315,.325,0.2,.200,0.4666666666666667,.466,0.04,.040
"
Franklin Van Gurp
",2019,AA-EL,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Pitcher,0,0,0,0,0,0,0,1,0,0,0,0,0.0,.000,0.32529408605038407,.325,0.0,.000,,.000,0.0,.000
"
Gianfranco Wawoe
",2011,FRk-VESL,35,100,78,13,14,8,2,0,0,17,3,2,5,0,0,14,0,2,Shortstop,0,0,0,0,0,0,0,0,0,0,0,30,0.1794871794871795,.179,0.32547951060533203,.325,0.20512820512820512,.205,0.5651282051282052,.565,0.02564102564102564,.025
"
Gianfranco Wawoe
",2012,FRk-VESL,49,188,166,28,42,10,9,1,0,20,8,4,2,0,0,25,0,2,Shortstop,0,0,0,0,0,0,0,0,0,0,0,48,0.25301204819277107,.253,0.3256281407035176,.325,0.3192771084337349,.319,0.6597026403486286,.659,0.06626506024096386,.066
"
Gianfranco Wawoe
",2013,FRk-VESL,67,280,241,62,79,30,18,4,6,32,21,7,4,2,1,25,0,4,Second Baseman,0,33,0,0,17,0,2,0,0,0,0,6,0.3278008298755187,.327,0.3268699504821475,.326,0.5103734439834025,.510,0.9210877296976882,.921,0.1825726141078838,.182
"
Gianfranco Wawoe
",2014,Rk-APPY,54,218,200,30,55,19,9,1,2,11,7,3,1,5,1,30,0,1,Shortstop,0,19,2,0,0,0,0,0,0,0,0,27,0.275,.275,0.32665051796114003,.326,0.36,.360,0.6673394495412843,.667,0.085,.085
