Name,Id,league
Mickey Moniak,666160,MILB
Carlos Perez,542208,MILB
Tyler Nevin,663527,MILB
Andres Gimenez,665926,MILB
Johneshwy Fargas,641561,MILB
Tres Barrera,668663,MILB
Cornelius Randolph,663524,MILB
Sergio Alcantara,642727,MILB
Brett Netzer,676071,MILB
Patrick Mazeika,664850,MILB
Jonah Arenado,643198,MILB
Alan Trejo,676701,MILB
Derek Hill,656537,MILB
Kody Eaves,623238,MILB
Luke Williams,663897,MILB
Preston Palmeiro,641945,MILB
Chad Spanberger,656989,MILB
Jerrick Suiter,607088,MILB
Cam Gibson,622057,MILB
Luke Tendler,657035,MILB
Darick Hall,669742,MILB
Bobby Dalbec,666915,MILB
Brock Lundquist,656668,MILB
Ryan McKenna,663630,MILB
Vinny Capra,681962,MILB
Josh Lester,623507,MILB
Bret Boswell,641385,MILB
Jalen Miller,663692,MILB
Rhett Wiseman,621443,MILB
Kevin Smith,675656,MILB
Jacob Heyward,641689,MILB
Arquimedes Gamboa,660614,MILB
Brandon Wagner,643590,MILB
Daniel McGrath,600011,MILB
Zac Lowther,675912,MILB
Matt Manning,666159,MILB
Pedro Vasquez,664275,MILB
Mario Sanchez,532936,MILB
Alexander Wells,649144,MILB
Mickey Jannis,595263,MILB
Caleb Baragar,670056,MILB
Brandon Gold,641620,MILB
Jack Wynkoop,622063,MILB
Jake Paulson,641959,MILB
Brandon Lawson,669946,MILB
Yennsy Diaz,660546,MILB
Alex Faedo,656412,MILB
David Parkinson,663982,MILB
Alfred Gutierrez,621591,MILB
Denyi Reyes,660593,MILB
David Peterson,656849,MILB
Matthew Kent,664236,MILB
Sean Brady,608323,MILB
Tanner Tully,668684,MILB
Hector Perez,660431,MILB
Tyler Mapes,605356,MILB
Sam Hentges,656529,MILB
Drew Waters,671221,MILB
Patrick Leonard,596018,MILB
Daulton Varsho,662139,MILB
Brandon Marsh,669016,MILB
Miles Mastrobuoni,670156,MILB
Vimael Machin,605353,MILB
Pavin Smith,656976,MILB
Alfredo Rodriguez,670895,MILB
Alex Kirilloff,666135,MILB
Brett Sullivan,664954,MILB
C.J. Hinojosa,546994,MILB
Travis Blankenhorn,663905,MILB
Cristian Pache,665506,MILB
Jamie Westbrook,642197,MILB
Gavin Sheets,657757,MILB
Brian Miller,675649,MILB
Dillon Thomas,605504,MILB
Blake Rutherford,666164,MILB
Ryan Casteel,592205,MILB
Jhoan Urena,622561,MILB
Gavin LaValley,656642,MILB
Josh Lowe,666139,MILB
Jose Siri,642350,MILB
Cooper Hummel,669450,MILB
Laz Rivera,650528,MILB
Luis Gonzalez,670768,MILB
Brantley Bell,664009,MILB
Stone Garrett,656448,MILB
Joe Dunand,656388,MILB
Ti'Quan Forbes,656431,MILB
Jeffrey Baez,600861,MILB
Jhonny Pereda,640902,MILB
Jack Kruger,667674,MILB
Justin Twine,657064,MILB
Roberto Caro,622736,MILB
Charcer Burks,642836,MILB
Taylor Trammell,666211,MILB
